strategy,run_idx,candidate_lock_flag,propagating_flag,period,clock_signature_drift,phase_signature_std_mean,centroid_displacement,nonvac_final
bundle4,79,False,False,,0.6814182884564116,0.03484640303563929,0.23928571428571388,280
bundle4,80,False,False,,0.4546787523327112,0.025434660501882995,0.26048951048951086,286
bundle4,81,False,False,,0.6420454545454546,0.04470351792914674,0.26048951048951086,286
bundle4,82,False,False,,0.7982537989869369,0.05190451112776424,0.23928571428571388,280
bundle4,83,False,False,,0.6420454545454546,0.04470351792914675,0.26048951048951086,286
bundle4,84,False,False,,0.6420454545454546,0.04470351792914675,0.26048951048951086,286
bundle4,85,False,False,,0.6420454545454546,0.04470351792914675,0.26048951048951086,286
bundle4,86,False,False,,0.6420454545454546,0.04470351792914674,0.26048951048951086,286
bundle4,87,False,False,,0.6619234870701146,0.034323529416939114,0.23928571428571388,280
bundle4,88,False,False,,0.7982537989869369,0.05190451112776425,0.23928571428571388,280
bundle4,89,False,False,,0.6420454545454546,0.04470351792914674,0.26048951048951086,286
bundle4,90,False,False,,0.6420454545454546,0.04470351792914675,0.26048951048951086,286
bundle4,91,False,False,,0.7982537989869369,0.05190451112776425,0.23928571428571388,280
bundle4,92,False,False,,0.8131609348618145,0.05225500767147623,0.23928571428571388,280
bundle4,93,False,False,,0.7982537989869369,0.05190451112776425,0.23928571428571388,280
bundle4,94,False,False,,0.6420454545454546,0.04470351792914675,0.26048951048951086,286
bundle4,95,False,False,,0.6420454545454546,0.04470351792914674,0.26048951048951086,286
bundle4,96,False,False,,0.6420454545454546,0.04470351792914675,0.26048951048951086,286
bundle4,97,False,False,,0.8131609348618145,0.05225500767147623,0.23928571428571388,280
bundle4,98,False,False,,0.7982537989869369,0.05190451112776425,0.23928571428571388,280
bundle4,99,False,False,,0.6420454545454546,0.04470351792914675,0.26048951048951086,286
bundle4,100,False,False,,0.8131609348618145,0.052255007671476235,0.23928571428571388,280
bundle4,101,False,False,,0.6420454545454546,0.04470351792914675,0.26048951048951086,286
bundle4,102,False,False,,0.6619234870701146,0.034323529416939114,0.23928571428571388,280
bundle4,103,False,False,,0.7982537989869369,0.05190451112776425,0.23928571428571388,280
bundle4,104,False,False,,0.6420454545454546,0.04470351792914675,0.26048951048951086,286
bundle4,105,False,False,,0.8131609348618145,0.05225500767147623,0.23928571428571388,280
bundle4,106,False,False,,0.6814182884564116,0.03484640303563929,0.23928571428571388,280
bundle4,107,False,False,,0.6420454545454546,0.04470351792914673,0.26048951048951086,286
bundle4,108,False,False,,0.6420454545454546,0.04470351792914675,0.26048951048951086,286
bundle4,109,False,False,,0.6420454545454546,0.04470351792914675,0.26048951048951086,286
bundle4,110,False,False,,0.6420454545454546,0.04470351792914675,0.26048951048951086,286
bundle4,111,False,False,,0.6619234870701146,0.034323529416939114,0.23928571428571388,280
bundle4,112,False,False,,0.7982537989869369,0.05190451112776424,0.23928571428571388,280
bundle4,113,False,False,,0.6619234870701146,0.034323529416939114,0.23928571428571388,280
bundle4,114,False,False,,0.8131609348618145,0.052255007671476235,0.23928571428571388,280
bundle4,115,False,False,,0.6420454545454546,0.04470351792914675,0.26048951048951086,286
bundle4,116,False,False,,0.4546787523327113,0.025434660501882995,0.26048951048951086,286
bundle4,117,False,False,,0.6420454545454546,0.04470351792914673,0.26048951048951086,286
